Attribute,Days Before,Days After,Accuracy,Precision,Recall,F1 Score
aggressiveness,7,7,0.7742448330683624,0.7547770700636943,0.7847682119205298,0.7694805194805195
aggressiveness,7,14,0.8082502266545785,0.8113718411552346,0.8077268643306379,0.809545249887438
aggressiveness,7,21,0.7763157894736842,0.7599660729431722,0.810126582278481,0.7842450765864333
aggressiveness,7,28,0.7879045996592845,0.7842639593908629,0.7923076923076923,0.788265306122449
aggressiveness,14,7,0.7523343708314807,0.7425742574257426,0.7527372262773723,0.7476212052560036
aggressiveness,14,14,0.7569961034360609,0.7487753673897831,0.7659269863994274,0.75725406935598
aggressiveness,14,21,0.758289124668435,0.7453733248245055,0.7797062750333779,0.7621533442088092
aggressiveness,14,28,0.7567648827420325,0.754539762053851,0.7429099876695437,0.7486797141969554
aggressiveness,21,7,0.7473505722763883,0.7283085013146363,0.7439570277529096,0.7360496014171833
aggressiveness,21,14,0.735885788449059,0.7134268537074149,0.7350309704060565,0.7240677966101695
aggressiveness,21,21,0.7430394431554525,0.7178754997144489,0.7622801697998787,0.7394117647058823
aggressiveness,21,28,0.7373368146214099,0.7160087719298246,0.7279821627647715,0.7219458264234384
aggressiveness,28,7,0.7388302193338749,0.7441860465116279,0.6997476871320437,0.7212830515821413
aggressiveness,28,14,0.7493333333333333,0.7475845410628019,0.7430972388955582,0.745334136062613
aggressiveness,28,21,0.7368148914167528,0.730669434353918,0.7383324593602517,0.7344809598330724
aggressiveness,28,28,0.7481997677119628,0.7435897435897436,0.7421800947867299,0.7428842504743833
sentiment,7,7,0.8014209591474245,0.875,0.806949806949807,0.8395982783357246
sentiment,7,14,0.7979135618479881,0.8145271813613523,0.867639902676399,0.8402450518378889
sentiment,7,21,0.8067179049245659,0.8248143294014854,0.8716528162511542,0.8475869809203144
sentiment,7,28,0.801032889372112,0.8362385321100917,0.8293903548680619,0.8328003654636821
sentiment,14,7,0.7963190184049079,0.8250121182743577,0.8488778054862843,0.8367748279252704
sentiment,14,14,0.794986994561362,0.8162100456621004,0.8481613285883749,0.8318789994182665
sentiment,14,21,0.7964897618052653,0.8073363044223517,0.8511022768341163,0.8286418015482054
sentiment,14,28,0.7800854037267081,0.7914285714285715,0.8396766588076794,0.8148390259846381
sentiment,21,7,0.7844259948468365,0.8179176755447942,0.8175217812197483,0.8177196804647785
sentiment,21,14,0.7855205508032548,0.7901606425702812,0.8548153511947864,0.8212173913043478
sentiment,21,21,0.7758862758862759,0.7760985166526728,0.8532307692307692,0.8128389271581417
sentiment,21,28,0.7755166931637519,0.779449922158796,0.8424004486819966,0.8097035040431267
sentiment,28,7,0.7817482133040132,0.8078191238813001,0.8162779628748215,0.8120265151515152
sentiment,28,14,0.7762574677201773,0.790955091714105,0.8333888703765412,0.8116177186435178
sentiment,28,21,0.7834050007963052,0.7862270672693432,0.8417307144890407,0.813032719274127
sentiment,28,28,0.7636732917452488,0.7434519811954332,0.8730283911671924,0.8030467899891186
stance,7,7,0.7577197149643705,0.7233273056057866,0.7233273056057866,0.7233273056057866
stance,7,14,0.7467467467467468,0.7213765718067505,0.7633053221288515,0.7417488941816943
stance,7,21,0.7493670886075949,0.7368762151652625,0.7465528562048588,0.7416829745596869
stance,7,28,0.7542735042735043,0.7472716829408386,0.7809123649459784,0.763721749339595
stance,14,7,0.75740567508575,0.7482419127988749,0.7169811320754716,0.7322780454232624
stance,14,14,0.7285987565758011,0.7164544564152792,0.7246161466072313,0.7205121891159814
stance,14,21,0.7182656053623796,0.699205448354143,0.7706422018348624,0.7331878595516763
stance,14,28,0.7271479011377011,0.7228875582168995,0.7956792383742219,0.7575387833362386
stance,21,7,0.7513134851138353,0.7200811359026369,0.7085828343313373,0.7142857142857142
stance,21,14,0.7200169815325833,0.7034808766652342,0.7224183583406885,0.7128238623993034
stance,21,21,0.722704266088214,0.7211328976034859,0.721656976744186,0.7213948419905557
stance,21,28,0.7169032684054143,0.7307007125890737,0.7528296115019883,0.7416001205363869
stance,28,7,0.7661440340154132,0.7641117052881758,0.7269643866591294,0.7450753186558516
stance,28,14,0.7418876321157055,0.7506785575804575,0.7210428305400373,0.7355623100303951
stance,28,21,0.7387191812684137,0.7434074074074074,0.75390625,0.7486200208861704
stance,28,28,0.7360178970917226,0.7437185929648241,0.7732497387669801,0.7581967213114754
